如何清空实时目的地	如何取消实时目的地设置
有个订单对方说搞错了	如何取消订单
推荐了好友成为快车司机，为何还没有获得200奖励？	未收到推荐奖励
已注册司机能注销吗	我要注销滴滴快车账号
被推荐的司机不扫二维码注册行不行	如何推荐司机加盟
个人资料提交后已经满48小时？还是没有短信提示	快车审核时间
如果执法部门认定非法营运 滴滴公司负责吗	滴滴是不是合法
上周末的超过13单，奖励50元，未到账啊	未收到奖励
我今日14:12:51完成的订单怎么没见了呢	如何查询订单状态
我刚才接了一单，我都单了接乘车的地方了，他才给我说，他已经叫到车了。	乘客取消订单是否算取消率
我到了指定地点客户不接电话。也不说明原因	乘客失联
不用提前绑定支付宝吗	乘客怎么绑定支付宝
给他打了八个电话都是关机，我点改派也说原因了	乘客失联
右上角哪有更多啊？	客户端操作流程
怎么要求空驶补偿	如何申请补偿
你们好，我反应个事，我十二月三十一日晚没有得过年夜单单奖励，你们昨天下午三点怎么扣回了147元，还有个事我元月4日早高峰接了5单，晚高峰接了3单，总共8单，你们只给了6单的奖励，请查实，请回复13880204970谢谢。	收到奖励金额不正确
今天我怎么只有2个抢单奖，还有一个高峰奖怎么没来呢	未收到奖励
3月5日有一单车费29.30元至今未付请处理	乘客未支付
由于乘客地址有误，电话联系他同意取消订单，他是第一次用不会取消，迫使我改派，这种情况也要封禁我吗，他现在在别人的帮助下己取消了订单	改派有什么处罚
如何算低速里程	滴滴打车如何计费
我人在东阳市，注册的时候没有这地方，我添了金华市，想改回来怎么改？	城市如何更改
快车的计价规则是什么	滴滴打车如何计费
2月11日到2月17日新人奖什么时间发放	未收到奖励
我的电话号码咋给改变一下 谢谢	如何更改电话号码
秘码忘了怎么办	登录密码忘记
致电客服打不进	客服热线打不通
我的订单，还没有接起来，客人自己就取消了，怎么要下降我的成交率	乘客取消订单是否算取消率
查了沒到	提现到账时间
一对一单，我刚到他就取消了，那怎么算？	如何申请补偿
我不知道改派会被禁封，我是新手，希望核实	改派有什么处罚
以前有几个单，出现了乘客取消订单，，还能有补偿吗	如何申请补偿
怎么都没单，有单就是很远的	接单距离较远
总是不还款怎么办	乘客未支付
2月11日到17日新人奖我怎么没发放啊	未收到奖励
我申请升级很久了，一直不安排线下审核，什么原因？	专车升级时间
为什么流水是63而钱包里显示48	流水和余额的区别
河北沧州好多滴滴司机好像在用一些类似。加速器的软件抢单	作弊举报
怎么呼叫打车	我怎么叫车
投诉嘀嘀公司，为什么今天无缘无故扣我十多块钱	查询扣费明细
怎样计算费用，出租车上有计费器，像我们这样怎样计算费用	滴滴打车如何计费
那我还有两单15元奖励没来	未收到奖励
为什么，我接收不到预约单。预约单的时候我的手机都没有响。我朋友的都有响	软件无声音
乘客故意取消订单 系统自动排单 影响派单率	乘客刷单提高取消率
问下我有没有新人奖励	新人奖活动周期
哪我们达州这怎么没取消那个业务，过去了他走了	订单被取消司机端未显示
如何取消时实订单	如何取消订单
在吗？我刚发起了发票开具申请，但是发现少开了，可以撤销重新开吗	如何取消发票
遇到检查怎么办？	滴滴是不是合法
好评率有什么作用吗？又是怎么计算的？	好评率有什么影响
怎么使用zfb支付	乘客怎么绑定支付宝
为什么我订单取消了还要扣费18元	乘客未上车产生费用
一个驾驶证可以注册两辆车吗	同一个账号可以注册两辆车吗
取消啦	乘客取消订单是否算取消率
请看到信息及时联系我	客服何时回电
你们的抢单奖还发不发了？满22单奖200的！	未收到奖励
您好我上线怎么接单	司机如何接单
昨天早上8点左右一单到深圳龙岗的为什么30多公里才计算出10多公里？公司不用负责任吗？	滴滴打车如何计费
拒绝指派	指派模式拒单是否有影响
乘客下单马上取消难道是我的错吗?	乘客取消订单是否算取消率
免责改派有补偿吗	如何申请补偿
我1月22日的平锋奖励未到帐？？	未收到奖励
请问顺车车主接单了，我还能取消单不	如何取消订单
我有50元的礼包今天打车怎么付的全价呢	支付不提示使用券
那我觉得你们这个不合理，我等了20多分钟，乘客电话打不通，我不能一直等下去吧	乘客失联
会有什么麻烦吗？	滴滴是不是合法
刚才收到一个订单，但是由于客户原因，无法接单客户而进行改派请求，能否解禁我的账号	改派冻结了能提前解禁吗
我推荐朋友加入滴滴快车，他都开始接单了。为什么我的推荐奖励还没有？	未收到推荐奖励
是同一个省;要怎么更改	城市如何更改
干嘛我的奖励只有39	收到奖励金额不正确
已下单 但是没有坐车	乘客未上车产生费用
为什么我很久才能接到订单，有时候一个多小时，有时候三，四个小时才接一单，有三个星期之久了。	系统未播报订单
两小时接3单，怎么啦！	系统未播报订单
我接单到目地了，乘客取消定单怎么办？	如何申请补偿
司机绕车	司机绕路怎么办
对于不付款的乘客，我们有措施吗？	乘客未支付
我是滴滴快车新注册的车主，我的新人奖怎么没有呢	未收到奖励
24小时过了	提现到账时间
新人奖怎么才29？	收到奖励金额不正确
四川乐至县有滴滴打车吗？	滴滴专车支持的城市
订单三分钟后取消	订单有取消费用吗
我们的费用标准和分成在哪里介绍的	滴滴打车如何计费
我今天两个派单没来得及接对我以后有没有引想	指派模式拒单是否有影响
已经几天了怎么没有单啊？	系统未播报订单
三秒都没过就被抢走了	派单被抢原因
怎么转换抢单模式	抢单模式是什么
客户评价	服务评分如何评定
调价	什么是动态调价
评分规则	服务评分如何评定
怎么开始接单	司机如何接单
机场停车费	停车费如何处理
帮我取消下订单	如何取消订单
铜牌有什么用	什么是奖牌权益
多久会补偿	如何申请补偿
人身保险	每单五毛钱的保险费用是什么
现在滴滴还有补助吗？	奖励活动有哪些
快车审核	快车审核时间
乘客支付不了车费	乘客未支付
没有评分怎么会掉星级	星级如何评定
昨晚我有一订单乘客取消了，有没空驶费的？	如何申请补偿
问一下，我昨天跑了2单，今天没跑，明天跑有没有奖励活动	一天不接单有影响吗
我想问什么原因我抢单总会慢给其它司机，等了一个小时都没抢到一个	抢单提示失败
请问账户变更可不可以	如何修改账户名
我只下了软件注册司机端，如果被抓到了滴滴会赔偿吗？怎么赔，	滴滴专车车辆被扣
现在快车都需要加价？这是为什么？	什么是平台加价
我的星评多少分	如何提升星级
客服系统太差	 客服何时回电
您好，我想问一下儿，为什么我的指派订单那么少，都是预约，我设置的是全部啊，现在也没有目的地。	指派订单模式如何设置
为什么我1月19日的高峰奖励没到帐，20号的都到了？	黄金奖励发放时间
我刚刚注册的滴滴专车，为什么听不到播报的声音呢	如何关闭滴滴播报
水收费么	领水多少钱一箱
窗口期是什么意思	取消率的逃离期如何查询
到地方后我提交订单，对方显示未提交	服务完成乘客未收到账单
这几天怎么回事要跑这么远去接客人	指派订单距离乘客较远
我申请的升级，线上工作已通过，后续为何一直没有消息？	专车升级时间
怎么我听到的信息都是远处的，没近处的	指派订单距离乘客较远
我是网上注册的滴滴，我怎么会知道我的租赁公司的电话呢	查询租赁公司联系方式
商业银行不行吗	提现支持的银行卡类型
星级下降，怎样可以补上	如何提升星级
我的新人奖怎么还未给呢？？？	新人奖活动周期
我的收支明细怎么看不到呢	如何查询账户余额
我在服务过程中被查扣车了	滴滴专车车辆被扣
那帮我查询高峰期做了几单，平峰期做了几单。	流水怎么查询
我现在就想把银行卡绑定了，按你们说的，不行	提现支持的银行卡类型
我想修改司机资料怎么办理啊	如何更改资料
滴滴一直都是派单模式吗	指派模式是什么
今天己周三了，我的流水还未到账？	流水怎么查询
客服电话空号？	司机热线为什么一直打不通
外地牌照在成都注册滴滴号可以跑吗	异地车牌是否有奖励活动
朋友做滴滴过程中被查，要罚款，还要扣车怎么处理	滴滴专车车辆被扣
平台是单单抽水，我们赚点辛苦钱，容易吗？	你们的车费是怎么扣的
浙A牌照在上海接单可以吗	异地车牌是否有奖励活动
我想问下，关于乘客付费的事情	如何支付订单
为什么我的订单地图是北京	怎样找到订单地图
北京司机可以介绍天津的司机	如何推荐司机加盟
要投诉，23日，有晚间十点左右有太多取消单导致我的成交率达不到奖励要求了	成交率怎么计算
现在外地车牌不允许在广州市营运吗？	异地车牌是否有奖励活动
在线服务是找谁啊	转人工
无法提交申请个人信息	如何补齐资料
看活动有新人接单满3单有个25的奖励.为什么我钱包里没有呢	新人奖活动周期
我到达指定地点，客人不会电话怎么办	乘客失联
今日离欧尚指有几百米，但导舫竟让掉头绕了四五公里，到地方竟是五环主路上	如何设置导航
有个顾客没有结账，手机还关机了怎么办亲	乘客未支付
2月1日16点到19点29时间段缺一单奖励40元	收到奖励金额不正确
2015年12月23日完成任务8单咋就新人奖100至今不给	新人奖活动周期
我在机场接客人到大理下关如家酒店，手机界面显示3.8元，按下结束，显示23元，里程9.5公里，时间20分钟，与实际明显不符。	导航显示公里数不准
为什么你们的扣提成那么多？	你们的车费是怎么扣的
请问我去接5公里外的单，在记费时有没有考虑我的权益	如何申请补偿
每单要扣百分二十分成吗	你们的车费是怎么扣的
可以帮忙注册滴滴专车司机版	如何加盟滴滴专车
查了的没支付，她说没收到支付信息	服务完成乘客未收到账单
订单指派非常糟糕	指派模式是什么
电话从来沒打通过！	司机热线为什么一直打不通
我想申请改电话号码，先的号码是我哥哥在用，现在是我在开车，乘客总是打到哥哥那，很不方便!	如何更改电话号码
我一月一号高峰期完成了七单，为什么奖励只有88	黄金奖励发放时间
1月21日17点52分订单高峰期派单时显示2.5倍，送达结单，我的行程记录打开在看到此单的奖励！！！	黄金奖励发放时间
之前因为软件卡住死机就通过其他方式付过款了，但是现在软件好了，订单还在进行。	乘客重复支付怎么办
累计星级4.8是什么意思	如何提升星级
如果去南澳接乘客过桥费怎样计算？	高速费如何处理
给个下载快车网站	司机端如何下载
刚才拼车显示4.30，结帐却要7.20，这是为什么？？	拼车的计费方式
每天跑哪么多单星级怎么少了呢	星级如何评定
长安福特冀虎评什么级?	目前车型有哪些
打客服电话永远没有人接	司机热线为什么一直打不通
订单开始不足1秒又自动取消为何降低我的成交率	乘客取消订单是否算取消率
问一下河北保定市的客服电话	司机热线为什么一直打不通
每个单都可以抢吗？	抢单模式是什么
我要注册，有什么条件没	加入专车需要的条件
我昨天限号、前天很努力的跑了22单、没想到今天连翻倍奖励都没有？	未收到奖励
那余额什么时候到账	提现到账时间
客户叫了车我打电话过去他说不要了怎么办	乘客取消订单是否算取消率
觉得滴滴不行，可以注销不?	我要注销滴滴快车账号
2倍时接单 乘客第二天支付 奖励还有吗	高峰期订单乘客不支付是否有奖励
注册快车都需要什么条件	加盟车的车龄要求
多久才能全部提完我钱包里面的现金？	提现限制规则
星级和好评率有关系吗	星级如何评定
电话服务工作时间	司机热线为什么一直打不通
车况A级，B级，C级，D级如何分？	目前车型有哪些
抢单是自已抢还是系统生成	抢单模式是什么
刚才单的顾客付现金8元了 她可能不知道付款后怎么确认	如何支付订单
我想问一下，点出车以后，那个抢单，是自动抢，还是手动抢	抢单模式是什么
服务评星会清零吗	星级如何评定
我是说我一天接十位乘客都是五星！星级会长吗！？	星级如何评定
那注册城市可修改吗？怎么修改	城市如何更改
我才接第一单，请问费用怎么结算？	你们的车费是怎么扣的
收入为什么进入钱包	流水和余额的区别
帮我查一下我推荐一名滴滴有奖金么	如何查看推荐奖励
给客户买保险了吗？	每单五毛钱的保险费用是什么
派单是否公平	指派模式是什么
杨明娇的推荐奖为什么没有？	未收到推荐奖励
我是今天刚开通的新司机，我操作失误我的账号要冻结一天请问有办法解冻吗	账号如何解除封禁
请问我从家到接乘客地点45公里，这45公里计费吗？	如何申请补偿
出车去机场高速公路费是由承客付款吗	高速费如何处理
我昨天的五星好评今天为何没有统计？	星级如何评定
等不到乘客！选择了改派！就被封禁了！	为什么改派时不提示会封禁
我没有拒单，成效率还是下降，还有奖励吗？	成交率为什么会下降
如何更改车辆信息	如何更改车辆信息
代充值在软件那个地方	代充值相关
现在乘客取消单太多了	乘客刷单提高取消率
为什么别人都收到了腊八节的奖励短信，我却没有收到，在奖励里也查询不到，滴滴发放这个奖励有什么标准吗？	奖励活动有哪些
快车薪资	你们的车费是怎么扣的
接单是语音的吗？	司机如何接单
车型的标准和要求是什么	目前车型有哪些
明明是一口价怎么可以修改	如何修改订单价格
公里数有时都不够	计费错误
我账上还有55元怎么提不出来	如何提现
车型A不能改B？	目前车型有哪些
早晚高峰抢单奖励未到账	黄金奖励发放时间
怎么扣除费那么高丶一点奖励多没	收到的奖励为什么又扣掉
路上堵车时间长有计费吗？	滴滴打车如何计费
如果涉及到过路费是怎么算的	去机场的订单，过路费怎么算
联系不上以前的注册人怎么办	注册时提示车牌号已存在
推介已成功，但没奖励	未收到推荐奖励
我想注册快车，没有我的车型。	注册滴滴快车上找不到我的车型怎么办
晚上11点以后计费	夜间接单有补助吗
退出余款给吗	我要注销滴滴快车账号
快車收費標準	滴滴打车如何计费
星?及怎么查	星级如何评定
我差不多到了乘客那里，他取消订单我怎么没空乘费	如何申请补偿
送水是什么回事的？	领水多少钱一箱
怎么加公众微信	你们有微信公众号吗
哪个级别的车最好	目前车型有哪些
人工服务从没有打通过，一直叫我在APP上反应，你们滴滴什么情况？	司机热线为什么一直打不通
请问我的星级因何原因降为4.9呢？我是如此卖力哦？	星级如何评定
车主如何约乘客？	订单里没有乘客电话无法联系
出城有反空费吗？	如何申请补偿
您好，我想问一下2.26-3.2日的新人奖励活动，我完成五单，为什么奖励还没有到账？	新人奖活动周期
滴滴公司只给报销两次扣车罚款？	滴滴专车车辆被扣
乘客取消订单了，车开到了才说不去了，那公司有补偿吗？	如何申请补偿
乘客到达目的地，有要延伸路程，是直接走还是要改地址？	如何修改行程
我是川A0D36T的车主，手机号码是18684042512，我想问下，1月19日的高峰双单奖怎么还没有到帐？望告知，谢谢！	黄金奖励发放时间
我今天早上有个快车单客人说无法支付，帮忙看一下是什么原因！	乘客微信无法支付
我的总星级怎么是0	星级如何评定
新人账户，在规定时间内，跑了一定单数，现在奖励影子都没有，朋友推荐我注册的帐号，人家推荐奖也没拿到	新人奖活动周期
中途空跑几公里客人就起步价还怎么跑	如何申请补偿
我的车是吉利自由舰，能不能加入专车	加入专车需要的条件
乘客付款以打如我支付宝。他叫我把钱转给他，请问我是否把钱还给他？	乘客重复支付怎么办
万一被抓你们负责处理吗	滴滴专车车辆被扣
顺风车也是手机支付吗	顺风车
夜晚计费	夜间接单有补助吗
乘客无顾取消定单，不应算司机成交率？跟司机没关糸	乘客取消订单是否算取消率
被认为我作弊。客服已帮我申诉。为什么到现在还没有解封？	账号如何解除封禁
顺风车乘客资料电话号码不属实，一直没有支付车费，怎么办	顺风车
我的资料已经补齐了，一个月了无法升级，现在也是无法体现了	专车升级失败
我的账户所有的转账我都没有收到，刚刚打你们人工客服电话才知道中行账号无法提现，而我一直用中行账号提现的，请问我的钱去哪里了？	无法提现的原因
之前没发的机场翻奖励什么时候发	未收到奖励
请问申请了快车司机，怎么绑定网银	提现支持的银行卡类型
请问，3月15日完成早高峰5单奖励未到帐，请核查	黄金奖励发放时间
我想车辆升级系统进不了。	专车升级失败
星级服务怎么回事会有奖励吗	星级低影响接单和奖励吗
滳滳快车被运管查怎么办	滴滴专车车辆被扣
正常接单模式在什么状态下接单最好？	指派订单和抢单模式的区别
滴滴电话打了多少遍总是等待请回电话13971570490重要的事情说三遍乘客带宠物搭拼车司机有事先知晓权！！！！！	司机热线为什么一直打不通
4.7星没有高峰期奖励？	黄金奖励发放时间
对方乘客取消了订单，为什么我不能再下单，提示我还有一个订单未出行	乘客取消订单是否算取消率
指定地点和到达目的地不同	如何修改行程
乘客叫单后我到达目的地可乘客又取消订单我跑的公里数怎么算	如何申请补偿
您好，我是专车司机，我想降到快车司机，怎么降	专车可不可以转为快车
偶已经和乘客电话联系过了，叫他重新叫车，然后我就改派了，怎么要冻结我一天帐户呢？	为什么改派时不提示会封禁
对于乘客评价，如果客户一直没有评分怎么办	服务评分如何评定
我要注册司机，但是车牌号显示存在	注册时提示车牌号已存在
昨天是第一次用滴滴，因为高峰时段堵车，所以不能在制定时间到达，故联系乘客说明情况，在乘客同意的情况下该派的，请解除封禁谢谢	改派冻结了能提前解禁吗
现在的订单做做基本上亏的呀，怎么办	如何增加司机收入
我刚下的滴滴打车我要如何绑卡号呢	本人本地银行卡什么意思
我想问一下，我星期二转的帐，目前还未到，什么原因，谢谢。	提现到账时间
我有一个预约单，前2小时怎么一个单都听不到	接了预约单之后没有单了
奖励金额是什么时候发放	未收到奖励
过路费是自行给单边还是来回	什么是附加费用
为什么我总接不到我附近的的单，有单也是十多公里处的订单，为什么呢？	指派订单距离乘客较远
我该怎么绑定微信号或是银行卡号？	本人本地银行卡什么意思
昨天超级任务第4单奖励5元怎么没到账？	收到奖励金额不正确
乘客坐其他车走了，改派也得罚吗	改派有什么处罚
我今天翻倍的吗	黄金奖励发放时间
请问我的ID56713的奖励到账了吗？	未收到奖励
如果滴滴司机被客运查扣怎么办	滴滴专车车辆被扣
挂靠的出租公司	查询租赁公司联系方式
为什么推荐有奖里面我推荐了我朋友，然后她成功坐了一次滴滴，没有返我20元的通用券呢？里面一直显示加载中	未收到推荐奖励
数字没变，为什么星级变了？	星级如何评定
我跑得奖励不知怎么算得，我也没收到过奖励的钱呢	未收到奖励
问下这样接单运行，不需要运营证吗？听说我这边有被运管所处罚的	滴滴是不是合法
抢单规则不合理…	抢单提示被抢
我已经发送收款可客户付的现金	乘客重复支付怎么办
今天第一次接单，乘客给了现金，那可以修改订单吗	代充值相关
顾客打着电话下车了说停一会给钱我怎么办	乘客未支付
还有很远都会播报	司机端无法设置听单距离
拼单几点开始	什么是拼车
l珠海如何办理租赁挂靠	查询租赁公司联系方式
车型下线了是什么意思	目前车型有哪些
10.8元到自己手里只好8元。扣的有点多	你们的车费是怎么扣的
怎么听不到指派模式	指派订单模式如何设置
封禁制度	作弊封禁的情况有哪些
我是快的车主，想换一台车怎么操作	如何更改车辆信息
怎么推荐了客服用的的打车的奖励没有到账呢	未收到奖励
遇见长期不付款，而且联系不上怎么办	乘客未支付
乘客显示不了微信支付	乘客微信无法支付
开车后更改行程	如何修改行程
前两天有一张三十七元的单未结帐，联系客户已经停机，该如何解决？	乘客未支付
我想了解下付费方式	如何支付订单
过路桥费。收单项还是双项收费	什么是附加费用
潭海酒店到沙井洪田工业区的订单在接送过程中被取消，滴滴公司还未补回油费给我？	如何申请补偿
今天打车为什么会有一个其他收费？	什么是其他费用
昨晚从苏州永利小南国到群星苑一区的19元车费，我的钱包没有啊	流水和余额的区别
滴滴打车司机奖励	奖励活动有哪些
有责取消订单有三次免费机会，是我这个账号永久的三次吗	如何取消订单
离我太远了呀都六七公里的单子拍给我	指派订单距离乘客较远
小费算到什么里面	小费是怎么添加的
已经联系过客服了，可惜到现在都未解决	客服何时回电
快车怎么接单	司机如何接单
什么是荣誉司机	怎么查看司机排名
春节回家	如何设置快车中的顺路订单
荆州地区 很多滴滴司机师傅用外挂软件抢单 导致一对一的指派订单都无法接到 已经投诉多日了 望早日解决！	作弊举报
有责取消	如何取消订单
快车是什么类型的车	目前车型有哪些
什么叫超里程	远途费是什么及如何添加
支付宝免密支付	免密支付的定义
长途如何计费	远途费是什么及如何添加
拒绝短信	不想接收你们的短信怎么办
【滴滴快车】师傅您有一笔乘客未坐车产生计费的订单，订单状态已关闭，请您规则操作，感谢您的支持，我们会继续努力.退订回复TD	乘客未上车开始计费了怎么办
空乘补助	如何申请补偿
补银行卡	如何补齐资料
请问我的注册地是哪里？	如何查询个人信息
在哪里输入卡号	如何修改银行卡号
怎么退出指派模式	指派订单模式如何设置
模式里没有自动接单	指派模式是什么
乘客问我为什么支付不上车费	乘客微信无法支付
怎样清空订单	司机端订单是否可以删除
什么样的车可以做专车	加入专车需要的条件
乘客不能在线支付怎么办	乘客微信无法支付
北京一天让拒接几单	指派模式拒单是否有影响
滴滴快车之家	滴滴之家
抢单模式怎么开启	抢单模式是什么
怎么进入抢单模式	抢单模式是什么
还是沒单	系统未播报订单
早就超过7天了	未收到奖励
远徒费是什么意思	远途费是什么及如何添加
为啥我1月1号的年夜单单奖现在都还没到？账号13688445300	未收到奖励
我23号晚5点到8点接满了6单，请问有没有奖励	奖励活动有哪些
是用你们的保险公司还是我自己车主的保险公司呢？	出现交通事故滴滴会进行赔付吗
我跑一次5元为什么帐号上只有3元多	计费错误
我现在已经注册成为司机了！接下来费用怎么算	滴滴打车如何计费
多少公里才算远途订单	远途费是什么及如何添加
钱包的钱可以转到微信红包那吗？	如何提现
嘀嘀打车司机的路桥费用怎么算	去机场的订单，过路费怎么算
请问送乘客从A点到B点，但是乘客要求到达B点后要返回A点，请问怎么计费？	司机是否可以接同一乘客
喝醉酒给差评怎么改	乘客评错星级，星级能否修改
帮我查下我的排名	怎么查看司机排名
为什么大城市的活动和小城市不一样	奖励活动有哪些
我想问今晚我完成五单明天的翻倍奖励会有吗	奖励活动有哪些
我想应该是2月6回7点42分那个星沙至汽车东站的单造成，乘客下单距离我三公里，到了约定地点打了几个电话他都讲不清位置，他赶时间，于是我叫他退单，他又迟迟不退，我便点了一下，当时我晕了头，你们可以查，希望解禁。	改派冻结了能提前解禁吗
奖励对加盟司机有成交率要求吗?	什么情况会影响奖励
每单利润怎么分？	你们的车费是怎么扣的
每天能抢几单预约单	抢单模式有次数限制吗
快车有等级区分吗	目前车型有哪些
帮我看一下我能领取新人奖不？	新人奖活动周期
元宵福利是什么	奖励活动有哪些
怎么我注册快车老是不行呢？	快车注册失败
到了指定地点，对方电话关机无法联系，选择改派为什么还要罚款	改派有什么处罚
我推荐了王艳杰开快车，没有收到登陆密码呀	如何获得密码
问哈，无车全职加盟需要些什么条件呢	没有车可以加盟滴滴吗
每次改派都会被罚款吗	改派有什么处罚
快车需要什么条件	加盟车的车龄要求
4.8星以下有翻倍奖吗	什么情况会影响奖励
每次接完订单，都说好去接乘客，可是乘客又取消了订单	如何申请补偿
昨日指派成交率>70%怎么算，昨天没干的算吗？	成交率怎么计算
刚才有个单子，客户反应没接到支付消息	服务完成乘客未收到账单
支出，几个工作日到？	提现到账时间
我2月4号星月奖没有呢	未收到奖励
我早上跑的第一单29.1系统怎么按19.1结算的？	计费错误
我想查一下我我账号需要什么地方的卡才能提现	如何提现
我自己可以充值吗	代充值相关
本市的滴滴价格	滴滴打车如何计费
天津怎么弄更换车辆	如何更改车辆信息
问问外地拍照的车可以在北京注册快车吗？	可以异地注册滴滴打车吗
如果客人不用滴滴快车了，咋办？？	如何申请补偿
奖牌分成我怎么看还是铁牌	分数权重怎么计算
下了订单，电话关机，客服直接关闭，妈逼的没个说法？害得老子白等二十分钟，客服给我赔偿！	如何申请补偿
请问计费标准是在客人上车后到客人下车这段距离吗？	滴滴打车如何计费
快车不收取etc费用，有时候过桥的一单都不足10元，过桥费都8块了，这样的单对于不熟悉路程的我非常恼火，有什么方法可以规避吗？难道只能包年？2100啊，太贵了！	高速费如何处理
未坐车产生费用，还发短信到手机提醒	乘客未上车开始计费了怎么办
最后半个小时你还就是一单不派过来阿咧…真尼玛坑爹	系统未播报订单
为什么我1号的奖励要收回去？	收到的奖励为什么又扣掉
请问自动接单一天可以拒几单	改派有什么处罚
接到订单 到达预约地址 顾客说不走了 但是顾客又没有在系统取消订单怎么办	如何取消订单
自己带车加入	如何加盟滴滴专车
车的级别简单的说就是车的价格区别吗	目前车型有哪些
那啥刚才有一个单，本来要打5星，后来一看怎么点了个一星呀？麻烦给人家取消一下。	乘客评错星级，星级能否修改
我等一小时了没人	乘客失联
那我的成交率怎会变成百分之三十三	成交率怎么计算
我的账户怎么换驾驶证	如何更改资料
淮安滴滴快车在上海可以跑吗	可以异地注册滴滴打车吗
我叫了快车，但是他没来接我，然后还要我付车费？我投诉了，但怎么取消那个付款	如何取消订单
我觉得客人直接取消的订单不应该降低我们的指派完成率	乘客取消订单是否算取消率
请问我昨天晚上接了一单之后，乘客电话却打不通，我选择改派，却被罚款是怎么回事，以后遇到类似情况如何处理	改派有什么处罚
平凡取消订单会怎样？	改派有什么处罚
客人原因以取消定单为什么还封号	如何取消订单
长时间接不到单，经常在线时间不显示，不走时间	系统未播报订单
我今早上接的第一单47，为什么到帐只有二十五	你们的车费是怎么扣的
我转帐1天多，怎么回事	提现到账时间
为什么今晚跑市区都是几块钱的	你们的车费是怎么扣的
哪些七座商务车可以加入滴滴	目前车型有哪些
14万的也是快车！！5万的也是快车	目前车型有哪些
昨天跑的一单客户说支付了，但是我这里没有显示，什么意思	乘客已经付钱未收到支付消息
我3个月沒出车了，我想问问明天出车有没有奖励	奖励活动有哪些
车况怎么评定的呀	目前车型有哪些
奖牌权益多久刷新一次	什么是奖牌权益
那总收费20块钱。你那边抽多少钱	你们的车费是怎么扣的
我听到的预约订单都在几十公里以外，我怎么接单，难道我附近沒有预约单吗？	指派订单距离乘客较远
实时订单能自主接单吗	只能听到预约订单听不到实时订单
什么是对公车？	对公司机
登录界面咋跟播报的不一样啊？	司机端操作流程
2015年11.26号乘客未付款，什么时候偿	乘客未支付
快车我怎么切换车主身份呀？	司机端操作流程
为什么我接一单明明是十一块多流水账只有七块八	你们的车费是怎么扣的
我怎么快车注册不起	快车注册失败
如果车碰了有理赔吗？	出现交通事故滴滴会进行赔付吗
未支付订单多于两笔咋办	乘客未支付
我就是想找回订单	如何查询订单状态
超龄车可以加入快车吗？	加盟车的车龄要求
怎么上拉啊	司机端操作流程
别人成功支付，为什么我得钱包没有	乘客已经付钱未收到支付消息
自动补偿多久到账	补偿到账时间
乘客迟到，司机可以取消吗？	何时收取迟到费用
今日早上10点几，我去接个客人到目地，取消订单	如何申请补偿
明天能解封吗	账号如何解除封禁
为什么会额外增加长途费？	远途费是什么及如何添加
是按当时到达目的地时滴滴快车计算出的收取	滴滴打车如何计费
我的订单上收费的路程比实际的路程短，怎么回事？	导航显示公里数不准
星级多少个好评涨一点	如何提升星级
我还不知道怎么操作，怎么就说我拒绝四次派单了啊	司机端操作流程
更多？在哪个页面	司机端操作流程
派车不要太远，以免堵车。	指派订单距离乘客较远
接机单有空驶补偿吗	如何申请补偿
今天接到同一个人会不会被认为刷单	司机是否可以接同一乘客
短信重新订阅	我想恢复滴滴短信通知
1月10号到17号有新人奖励吗	奖励活动有哪些
还有的乘客定位已实记地址很远.你说去不去接?	指派订单距离乘客较远
为什么账单是7元钱，钱包里只有5.1元	流水和余额的区别
上一单我有发帐单给客户，怎么没有接到去支付账单呢？	乘客未支付
您好，我想问我有一个预约单，当时接单时没注意是专车单子还是快车单，怎么看是专车单还是快车单？	如何查询订单状态
我啥时候可以继续接单？	账号被封的时间
找不到行车订单记录	如何查询订单状态
我要重新安装系统，给我发个安装软件。	司机端如何下载
好评率怎么一直往下掉啊？	星级如何评定
空车回来能申请补贴吗	如何申请补偿
能让我知道封禁我的原因吗？	账号被封的原因
南昌车牌可以到深圳做专车吗？	可以异地注册滴滴打车吗
你说的是假话,我今天晚上离乘客近没有接到单反而远的接到了	指派订单距离乘客较远
我不能直接充值吗	代充值相关
我今天接了两单，有一单客人取消，为什么成交率只有50%？	成交率怎么计算
机场查滴滴是针的吗，还能去送乘客吗	滴滴是不是合法
流水440,余额345要扣这么多?	你们的车费是怎么扣的
你们都没有明显的奖励好不好，	奖励活动有哪些
在线很久几乎没有单	系统未播报订单
指定车什么意思	指派模式是什么
实时抢单有没有快慢	什么是实时订单
今天的奖励分1.3倍和1.2倍有区別吗，怎么分配？	奖励活动有哪些
我想查询为什么掉星	星级如何评定
乘客未及时付款怎么办？	乘客未支付
我的五星也升了不少，为什么星级不往上升还降下去了	如何提升星级
注册滴滴司机怎么接单	如何进行出车
我的滴滴出行为什么只能打快车，不能接快车的单	如何进行出车
今天的高峰奖励怎么没到账呢？	未收到奖励
没有投诉，好评率怎么会下降？	星级如何评定
密码怎么修改	如何修改账户密码
我的帐号今天被我家小孩不小心点错了，结果被你们封禁了7天	改派冻结了能提前解禁吗
阳光冲单奖好久到账	未收到奖励
请问这订单钱和钱包里的钱怎么不一样了。这个怎么算的	流水和余额的区别
